일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","6130","-50","-0.81","6140","6190","6110","33591","206340050","183329646410","29906957"
"2019/12/27","6180","-110","-1.75","6210","6230","6130","58484","362102560","184824994260","29906957"
"2019/12/26","6290","70","1.13","6230","6300","6190","41403","259056690","188114759530","29906957"
"2019/12/24","6220","-30","-0.48","6250","6300","6180","55343","344839050","186021272540","29906957"
"2019/12/23","6250","-20","-0.32","6270","6330","6220","36827","230949420","186918481250","29906957"
"2019/12/20","6270","10","0.16","6260","6310","6210","23303","146209840","187516620390","29906957"
"2019/12/19","6260","0","0.00","6300","6300","6230","17706","111088260","187217550820","29906957"
"2019/12/18","6260","40","0.64","6240","6290","6200","17031","106691360","187217550820","29906957"
"2019/12/17","6220","-50","-0.80","6300","6300","6190","47603","295787960","186021272540","29906957"
"2019/12/16","6270","140","2.28","6190","6330","6150","105647","661714850","187516620390","29906957"
"2019/12/13","6130","0","0.00","6170","6270","6110","53467","330903860","183329646410","29906957"
"2019/12/12","6130","-20","-0.33","6190","6250","6110","47268","291568750","183329646410","29906957"
"2019/12/11","6150","120","1.99","6030","6160","6030","40385","246670970","183927785550","29906957"
"2019/12/10","6030","50","0.84","5980","6050","5920","28631","171728150","180338950710","29906957"
"2019/12/09","5980","-60","-0.99","6040","6050","5950","34216","204575790","178843602860","29906957"
"2019/12/06","6040","110","1.85","5880","6060","5880","32692","196394580","180638020280","29906957"
"2019/12/05","5930","-10","-0.17","5950","6020","5870","33643","199621640","177348255010","29906957"
"2019/12/04","5940","-20","-0.34","5960","6020","5880","24704","147165580","177647324580","29906957"
"2019/12/03","5960","-40","-0.67","6010","6020","5880","30257","179728480","178245463720","29906957"
"2019/12/02","6000","-100","-1.64","6130","6130","5650","37161","223296860","179441742000","29906957"
"2019/11/29","6100","-70","-1.13","6170","6230","6050","45501","278656100","182432437700","29906957"
"2019/11/28","6170","-100","-1.59","6270","6310","6170","57240","355342280","184525924690","29906957"
"2019/11/27","6270","-30","-0.48","6260","6340","6210","38614","242165810","187516620390","29906957"
"2019/11/26","6300","10","0.16","6290","6340","6190","60134","376387540","188413829100","29906957"
"2019/11/25","6290","50","0.80","6330","6450","6250","53153","336241590","188114759530","29906957"
"2019/11/22","6240","30","0.48","6210","6320","6150","31608","197615450","186619411680","29906957"
"2019/11/21","6210","-170","-2.66","6380","6490","6080","110766","682951910","185722202970","29906957"
"2019/11/20","6380","-60","-0.93","6280","6450","6280","117512","747989860","190806385660","29906957"
"2019/11/19","6440","250","4.04","6240","6540","6100","386736","2466373180","192600803080","29906957"
"2019/11/18","6190","190","3.17","6010","6380","6010","137058","851967280","185124063830","29906957"
"2019/11/15","6000","50","0.84","5950","6040","5950","32256","193575860","179441742000","29906957"
"2019/11/14","5950","-20","-0.34","6020","6060","5910","32110","190929670","177946394150","29906957"
"2019/11/13","5970","-20","-0.33","5960","6060","5950","46868","280592180","178544533290","29906957"
"2019/11/12","5990","-20","-0.33","6020","6080","5950","51479","309123640","179142672430","29906957"
"2019/11/11","6010","-20","-0.33","6690","6690","6010","109928","679776390","179740811570","29906957"
"2019/11/08","6030","30","0.50","6000","6030","5900","47706","284752230","180338950710","29906957"
"2019/11/07","6000","-50","-0.83","6080","6080","5950","29051","174421110","179441742000","29906957"
"2019/11/06","6050","60","1.00","5960","6120","5960","44894","272046700","180937089850","29906957"
"2019/11/05","5990","20","0.34","5940","6050","5870","54376","325066330","179142672430","29906957"
"2019/11/04","5970","90","1.53","5800","6050","5800","89800","537774030","178544533290","29906957"
"2019/11/01","5880","130","2.26","5790","5890","5710","46252","270567180","175852907160","29906957"
"2019/10/31","5750","100","1.77","5710","5940","5700","48935","281623940","171965002750","29906957"
"2019/10/30","5650","-80","-1.40","5750","5790","5630","65486","370964210","168974307050","29906957"
"2019/10/29","5730","-90","-1.55","5800","5900","5670","87667","504027480","171366863610","29906957"
"2019/10/28","5820","40","0.69","5920","5920","5770","36804","214446000","174058489740","29906957"
"2019/10/25","5780","50","0.87","5750","5950","5740","89668","524174260","172862211460","29906957"
"2019/10/24","5730","-120","-2.05","5810","5850","5500","65553","375564930","171366863610","29906957"
"2019/10/23","5850","20","0.34","5890","5890","5800","22687","132608140","174955698450","29906957"
"2019/10/22","5830","-20","-0.34","5930","5930","5800","53706","314010910","174357559310","29906957"
"2019/10/21","5850","-90","-1.52","5900","5940","5810","71935","421133860","174955698450","29906957"
"2019/10/18","5940","-140","-2.30","6090","6090","5920","112065","670885260","177647324580","29906957"
"2019/10/17","6080","-70","-1.14","6180","6180","6070","24640","150463190","181834298560","29906957"
"2019/10/16","6150","60","0.99","6110","6200","6070","46877","288187170","183927785550","29906957"
"2019/10/15","6090","10","0.16","6090","6130","6030","37034","225058190","182133368130","29906957"
"2019/10/14","6080","30","0.50","6050","6090","6010","64188","389564010","181834298560","29906957"
"2019/10/11","6050","-40","-0.66","6130","6130","5950","70206","422400960","180937089850","29906957"
"2019/10/10","6090","-10","-0.16","6120","6150","6040","58100","354231010","182133368130","29906957"
"2019/10/08","6100","-60","-0.97","6180","6210","6040","29996","182871920","182432437700","29906957"
"2019/10/07","6160","-60","-0.96","6120","6250","6100","19758","121988180","184226855120","29906957"
"2019/10/04","6220","-160","-2.51","6380","6450","6200","34999","219183070","186021272540","29906957"
"2019/10/02","6380","-140","-2.15","6460","6550","6380","23507","152041060","190806385660","29906957"
"2019/10/01","6520","0","0.00","6640","6640","6420","28917","188832810","194993359640","29906957"
"2019/09/30","6520","10","0.15","6500","6640","6390","20991","135889610","194993359640","29906957"
"2019/09/27","6510","40","0.62","6470","6690","6440","66530","436272820","194694290070","29906957"
"2019/09/26","6470","50","0.78","6410","6520","6370","40987","263866370","193498011790","29906957"
"2019/09/25","6420","-300","-4.46","6720","6720","6400","106191","693531430","192002663940","29906957"
"2019/09/24","6720","-90","-1.32","6820","6920","6700","150084","1020395130","200974751040","29906957"
"2019/09/23","6810","430","6.74","6440","6940","6370","373658","2516180140","203666377170","29906957"
"2019/09/20","6380","110","1.75","6300","6430","6250","63049","401541690","190806385660","29906957"
"2019/09/19","6270","60","0.97","6250","6370","6220","44073","277152740","187516620390","29906957"
"2019/09/18","6210","-10","-0.16","6190","6240","6140","30975","192128750","185722202970","29906957"
"2019/09/17","6220","40","0.65","6140","6220","6130","89261","552406480","186021272540","29906957"
"2019/09/16","6180","0","0.00","6200","6270","6120","28729","178394900","184824994260","29906957"
"2019/09/11","6180","20","0.32","6220","6220","6100","47746","293381530","184824994260","29906957"
"2019/09/10","6160","60","0.98","6110","6250","6110","40842","253809750","184226855120","29906957"
"2019/09/09","6100","-100","-1.61","6150","6220","6100","49514","304580630","182432437700","29906957"
"2019/09/06","6200","-60","-0.96","6260","6320","6130","36580","226851250","185423133400","29906957"
"2019/09/05","6260","-10","-0.16","6270","6330","6160","67618","422283230","187217550820","29906957"
"2019/09/04","6270","300","5.03","6000","6800","5990","669002","4263434720","187516620390","29906957"
"2019/09/03","5970","30","0.51","5940","5990","5880","52282","310451580","178544533290","29906957"
"2019/09/02","5940","60","1.02","5890","5970","5820","48971","288441990","177647324580","29906957"
"2019/08/30","5880","190","3.34","5770","5960","5730","56959","332875020","175852907160","29906957"
"2019/08/29","5690","-140","-2.40","5830","5830","5690","31670","182578110","170170585330","29906957"
"2019/08/28","5830","140","2.46","5740","5850","5690","48195","279061500","174357559310","29906957"
"2019/08/27","5690","80","1.43","5750","5840","5650","37170","211853580","170170585330","29906957"
"2019/08/26","5610","-280","-4.75","5760","5820","5560","44242","250715880","167778028770","29906957"
"2019/08/23","5890","-30","-0.51","5920","5930","5810","44391","260991710","176151976730","29906957"
"2019/08/22","5920","-50","-0.84","5950","5990","5920","33122","197443670","177049185440","29906957"
"2019/08/21","5970","10","0.17","5960","5980","5890","41577","247088440","178544533290","29906957"
"2019/08/20","5960","-20","-0.33","6160","6160","5900","126695","760018800","178245463720","29906957"
"2019/08/19","5980","150","2.57","5830","6130","5800","196270","1173627840","178843602860","29906957"
"2019/08/16","5830","0","0.00","5830","5830","5640","31286","179006460","174357559310","29906957"
"2019/08/14","5830","30","0.52","5770","5850","5710","61622","356059650","174357559310","29906957"
"2019/08/13","5800","0","0.00","5690","5830","5680","30273","175026130","173460350600","29906957"
"2019/08/12","5800","220","3.94","5530","5850","5500","70473","400116590","173460350600","29906957"
"2019/08/09","5580","0","0.00","5570","5670","5500","74242","413813490","166880820060","29906957"
"2019/08/08","5580","120","2.20","5420","5630","5420","92990","511721720","166880820060","29906957"
"2019/08/07","5460","90","1.68","5280","5590","5280","130414","706683650","163291985220","29906957"
"2019/08/06","5370","-80","-1.47","5200","5500","5140","131931","705708570","160600359090","29906957"
"2019/08/05","5450","-350","-6.03","5730","5800","5330","136150","744448200","162992915650","29906957"
"2019/08/02","5800","-100","-1.69","5810","5930","5800","65922","384509390","173460350600","29906957"
"2019/08/01","5900","10","0.17","5820","5930","5820","28704","168327090","176451046300","29906957"
"2019/07/31","5890","0","0.00","5880","5930","5800","32211","188027460","176151976730","29906957"
"2019/07/30","5890","10","0.17","5840","6050","5840","33073","196157910","176151976730","29906957"
