일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","181000","-3000","-1.63","183000","185000","180500","527906","95967517500","23229151393000","128337853"
"2019/12/27","184000","3000","1.66","183000","187000","180000","1406310","257534182500","23614164952000","128337853"
"2019/12/26","189500","4500","2.43","187000","190000","185000","2138836","402474943000","24320023143500","128337853"
"2019/12/24","185000","-1500","-0.80","188000","189000","184000","684744","127119007500","23742502805000","128337853"
"2019/12/23","186500","4500","2.47","183000","189000","183000","872033","162961901000","23935009584500","128337853"
"2019/12/20","182000","1500","0.83","181500","183000","180000","553057","100531505000","23357489246000","128337853"
"2019/12/19","180500","3000","1.69","179500","183000","178500","688837","124840444500","23164982466500","128337853"
"2019/12/18","177500","-1500","-0.84","182000","182000","177000","568183","101676613500","22779968907500","128337853"
"2019/12/17","179000","9000","5.29","170500","179500","169500","956542","167811865500","22972475687000","128337853"
"2019/12/16","170000","-2000","-1.16","172000","173000","169000","349331","59629654000","21817435010000","128337853"
"2019/12/13","172000","1000","0.58","173500","174000","170000","611433","105181302500","22074110716000","128337853"
"2019/12/12","171000","6500","3.95","165500","171500","165000","961611","163224907500","21945772863000","128337853"
"2019/12/11","164500","-2000","-1.20","166500","167000","164000","484732","80048646000","21111576818500","128337853"
"2019/12/10","166500","-1500","-0.89","168000","169000","165000","558446","93277611500","21368252524500","128337853"
"2019/12/09","168000","-2000","-1.18","170000","171000","167500","346240","58460303500","21560759304000","128337853"
"2019/12/06","170000","1500","0.89","169000","171500","168500","337447","57283841500","21817435010000","128337853"
"2019/12/05","168500","-2500","-1.46","172500","173000","165500","581994","98143562500","21624928230500","128337853"
"2019/12/04","171000","-3500","-2.01","173000","175000","170000","427490","73467870500","21945772863000","128337853"
"2019/12/03","174500","-1000","-0.57","173000","175500","172000","285238","49635757100","22394955348500","128337853"
"2019/12/02","175500","1500","0.86","175000","177500","174000","346391","60854694500","22523293201500","128337853"
"2019/11/29","174000","-4500","-2.52","178500","179000","172000","590691","103358431000","22330786422000","128337853"
"2019/11/28","178500","-5500","-2.99","183000","185500","178000","466884","84536307500","22908306760500","128337853"
"2019/11/27","184000","4000","2.22","183000","186000","179000","589879","107752874500","23614164952000","128337853"
