일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/12/30","144500","-1000","-0.69","146500","146500","144000","4824","698905000","460973207000","3190126"
"2019/12/27","145500","-1500","-1.02","145000","146500","144500","7554","1097279000","464163333000","3190126"
"2019/12/26","147000","1000","0.68","147000","147500","144500","11129","1628620000","468948522000","3190126"
"2019/12/24","146000","500","0.34","145500","148000","143500","14683","2143021000","465758396000","3190126"
"2019/12/23","145500","3500","2.46","142500","145500","140500","10689","1525986000","464163333000","3190126"
"2019/12/20","142000","-1000","-0.70","143500","144000","142000","9911","1414507000","452997892000","3190126"
"2019/12/19","143000","-5000","-3.38","146500","147000","142500","13511","1944894500","456188018000","3190126"
"2019/12/18","148000","-1000","-0.67","148500","148500","145000","11151","1640656000","472138648000","3190126"
"2019/12/17","149000","1000","0.68","148500","150000","146500","19338","2866683000","475328774000","3190126"
"2019/12/16","148000","1500","1.02","148500","150000","147000","31670","4693388000","472138648000","3190126"
"2019/12/13","146500","10000","7.33","139000","149500","138500","46688","6764554000","467353459000","3190126"
"2019/12/12","136500","0","0.00","137000","138000","135000","8711","1184657000","435452199000","3190126"
"2019/12/11","136500","1500","1.11","135500","136500","133500","21505","2897057000","435452199000","3190126"
"2019/12/10","135000","0","0.00","135500","136500","134500","7535","1016068000","430667010000","3190126"
"2019/12/09","135000","-1000","-0.74","136500","137500","134500","9447","1286295500","430667010000","3190126"
"2019/12/06","136000","-1000","-0.73","137500","139000","134500","9694","1322747500","433857136000","3190126"
"2019/12/05","137000","-2500","-1.79","139500","140000","136500","8214","1128899000","437047262000","3190126"
"2019/12/04","139500","-1500","-1.06","141000","141000","137500","11129","1543247000","445022577000","3190126"
"2019/12/03","141000","-1500","-1.05","142000","142000","138500","18990","2653601000","449807766000","3190126"
"2019/12/02","142500","1500","1.06","141000","143000","140500","7236","1024631000","454592955000","3190126"
"2019/11/29","141000","-4000","-2.76","146000","146000","141000","11386","1620567500","449807766000","3190126"
"2019/11/28","145000","3500","2.47","141500","145500","141000","16471","2371244500","462568270000","3190126"
"2019/11/27","141500","-3000","-2.08","144500","144500","141000","12686","1803737500","451402829000","3190126"
"2019/11/26","144500","2000","1.40","143500","145000","142000","15055","2161849500","460973207000","3190126"
"2019/11/25","142500","-3500","-2.40","147000","147000","142000","13678","1963403500","454592955000","3190126"
"2019/11/22","146000","1000","0.69","144000","146000","143000","12514","1807104000","465758396000","3190126"
"2019/11/21","145000","-3500","-2.36","148000","148500","143000","23027","3329953000","462568270000","3190126"
"2019/11/20","148500","-3000","-1.98","151500","152000","147000","17423","2587577500","473733711000","3190126"
